"","r1","r2","K1","K2","e11","e12","h11","h12","a11","a12","m1","w11","R1","R2","C1","C1.max.eigen","feas.3sp","steady.3sp","species","mut.suc","p.try","sim.number","sequence"
"51",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,51
"52",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,52
"53",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,53
"54",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,54
"55",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,55
"56",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,56
"57",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,57
"58",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,58
"59",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,59
"60",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,60
"61",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,61
"62",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,62
"63",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,63
"64",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,64
"65",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,65
"66",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,66
"67",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,67
"68",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,68
"69",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,69
"70",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,70
"71",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,71
"72",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,72
"73",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,73
"74",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,74
"75",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,75
"76",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,76
"77",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,77
"78",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,78
"79",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,79
"80",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,80
"81",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,81
"82",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,82
"83",1,1,3.25,3.25,0.8,0.8,0.4,0.4,1.92,2.08,1,0.8,0.89964906088343,1.90330347384538,1.15157029242362,-0.0690138252738053,1,1,1,0,1,1,83
