"","R1_0","R2_0","C1_0","C2_0","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","m1","m2","w11","w22","R1","R2","C1","C2","steady"
"56",0.50585,1.62065,1.77725,1.42505,0.55325,0.55115,3.3563,3.3659,0.50652,0.65708,0.64588,0.62484,0.33385,0.11775,0.28025,0.50555,2.75239,0.45919,1.48255,0.31723,0.54739,0.96931,0.72113,0.42845,0.418675212942572,2.31221425292915,0.666025788893317,-1.98076768214726e-17,1
"57",1.97045,1.22405,1.46525,1.19615,1.84175,1.04825,4.1627,4.1537,0.74652,0.745,0.5702,0.59692,0.43275,0.50255,0.42435,0.43325,3.47233,0.20803,3.22117,0.45373,0.90523,0.34867,0.70601,0.05261,0.0781033793790219,2.418957468482,1.2343114955782e-11,2.04460312299174,1
"58",1.86785,0.73805,1.62935,0.88595,1.10105,0.88925,3.6809,4.3217,0.82204,0.87036,0.73148,0.64964,0.49725,0.33655,0.22485,0.16065,3.98011,3.82957,3.93955,1.55353,0.47215,0.95275,0.93659,0.49199,NA,NA,NA,NA,0
"59",1.90235,1.04585,1.27805,1.43285,1.94585,1.04315,3.2747,4.3403,0.62356,0.7254,0.87732,0.79228,0.31795,0.18555,0.20585,0.47785,3.93643,2.83897,1.81171,2.12137,0.79849,0.73765,0.13577,0.25241,0.619274481343936,0.47444885451735,0.280797006461328,1.28088254723293,1
"60",1.32755,1.38725,1.53695,1.42715,1.56185,1.52765,3.8897,4.8065,0.50524,0.8226,0.52196,0.89428,0.21785,0.13685,0.34995,0.28935,0.48103,0.24079,1.31875,1.70641,0.70219,0.30241,0.68945,0.63311,0.00635555995494012,0.00280983023413176,1.5516610167237e-255,2.93987941164103,0
"61",1.13285,1.38605,1.59245,1.24505,1.89815,1.82345,3.0431,2.3609,0.80004,0.58172,0.59884,0.6926,0.19525,0.27885,0.11385,0.41955,3.17281,2.77345,1.50673,1.02001,0.74665,0.96103,0.94397,0.56057,0.194193336543051,1.46211037377927,1.16085244095685,4.92713228998695e-09,1
"62",1.50425,0.76025,1.11215,0.70535,1.71155,1.12955,3.8381,3.1403,0.83724,0.76908,0.7558,0.7926,0.28835,0.44305,0.16015,0.24045,2.70949,0.36403,3.30541,2.80933,0.94069,0.47611,0.36239,0.60125,0.177577479216061,0.102899185578368,3.13127212190769e-272,1.23881891220576,0
"63",0.58445,0.85655,1.46585,0.99605,1.75745,1.67945,3.5045,4.6265,0.81412,0.5738,0.52052,0.55212,0.51695,0.58015,0.37705,0.52155,2.49499,1.01143,2.19703,0.61519,0.32779,0.33427,0.44519,0.83633,0.00627298013417255,0.0114649757289184,1.00917291792908,4.85529061216775e-53,0
"64",1.79855,1.79825,1.66985,1.79705,1.91615,0.79445,2.2841,4.6025,0.56028,0.78804,0.80932,0.63244,0.21035,0.40805,0.51185,0.25945,2.97391,1.63153,3.40135,1.61515,0.42751,0.50005,0.22469,0.64463,0.356402806252838,0.208220997527032,4.11271085980764e-23,1.35665339684586,0
"65",0.53405,1.23005,1.47905,1.55165,1.05635,1.27295,2.4917,3.1265,0.74372,0.66156,0.5486,0.85612,0.45805,0.32115,0.43895,0.22045,2.75395,1.84993,1.01689,2.52619,0.35263,0.17281,0.64805,0.33971,0.174690385109899,0.167651703798275,8.08681194035425e-43,1.55862856934338,0
"66",1.14815,1.07135,0.82895,0.60065,1.89365,0.69335,2.3075,4.5719,0.58404,0.54004,0.57804,0.72268,0.37105,0.11065,0.17265,0.10535,2.38033,3.32569,2.71651,0.67837,0.12331,0.46621,0.90437,0.28679,0.137355309490181,0.379433724132752,1.9751512873236,4.01205095549103e-143,0
"67",0.82145,1.49165,0.74375,1.50545,1.40705,0.69725,3.1787,2.4851,0.689,0.73604,0.61908,0.62452,0.29525,0.51885,0.12545,0.41565,0.17371,3.76405,2.31793,3.58543,0.98083,0.77005,0.91175,0.76343,0.860834091064957,0.111889307403819,9.96239974149321e-24,0.770093602888651,1
"68",1.93925,1.15205,1.37765,1.46705,1.39805,1.11845,3.3137,3.9827,0.83764,0.68468,0.5754,0.6154,0.34315,0.57525,0.21275,0.20415,0.96463,0.46153,3.37717,2.11825,0.26731,0.59437,0.55445,0.78719,0.27085210749791,0.261539820004654,1.69870447899657,0.345665407772726,0
