"","R1_0","R2_0","C1_0","r1","r2","K1","K2","e11","e12","h11","h12","a11","a12","m1","w11","R1","R2","C1","steady"
"83",0.9845,1.9715,1.2155,1.4765,1.6025,4.745,4.985,0.6732,0.75,0.3675,0.2055,3.0757,1.2661,0.6157,0.8897,0,4.98500000004775,1.53042124308155e-12,1
"84",0.7475,0.9275,0.9125,1.9175,1.6715,2.357,3.677,0.8204,0.814,0.5855,0.2755,1.5313,1.1959,0.5419,0.2291,0,0.68170175757935,1.39428808578225,1
"85",1.9955,1.7765,1.2365,1.5605,1.9655,2.249,2.009,0.6228,0.67,0.1325,0.1235,3.2005,3.7621,0.8947,0.3785,2.24900000078828,2.00900000112949,0,1
"86",0.7595,0.9635,0.6035,1.3565,1.3175,4.241,3.761,0.794,0.7716,0.4055,0.2215,2.0461,2.1865,0.2359,0.5891,0,0,0.375459071712025,1
"87",0.7175,1.6505,0.7595,1.8395,1.6595,3.197,4.187,0.5364,0.6796,0.3885,0.2535,0.8683,0.2365,0.7633,0.3245,0,0,0,1
"88",1.6445,1.2635,1.4495,1.9115,1.7255,3.215,2.057,0.6052,0.5404,0.2895,0.1335,0.7669,2.2957,0.1171,0.5351,3.21500000002258,2.05700000001477,0,1
"89",1.4015,0.5855,0.6995,0.7535,1.4255,4.601,4.175,0.7572,0.7188,0.3865,0.5545,0.9463,0.7825,0.6067,0.9095,1.22654641476403,0,0.845970238987734,1
"90",1.7555,1.6895,1.7375,1.3295,1.8275,4.847,4.787,0.726,0.7564,0.2485,0.1115,1.5079,3.1069,0.2647,0.4865,0,0,2.2228935258567,1
"91",0.6275,0.9785,0.5105,0.6005,1.0925,3.167,4.607,0.7028,0.7556,0.5395,0.4645,1.0477,3.9727,0.7939,0.1823,0,0.516601913547416,0.476925965703019,1
"92",0.5075,1.6385,1.4405,0.8015,0.8825,3.071,3.911,0.6564,0.8868,0.4775,0.1655,3.7855,3.5749,0.5977,0.4055,0,0,0,1
"93",1.9805,0.6425,0.5315,0.8735,0.5345,3.725,2.021,0.5868,0.886,0.4715,0.2285,3.2473,3.5905,0.4483,0.4757,0,0,0.850422820904108,1
"94",1.6025,0.5555,0.8315,0.7445,0.7235,3.701,4.559,0.6372,0.8124,0.2075,0.1925,3.1693,1.8901,0.5743,0.3443,0.425577962918841,0.377388992721226,0.665389537699679,1
"95",0.9515,0.7715,0.9365,1.8725,0.9995,4.145,3.923,0.7508,0.6804,0.4045,0.4415,1.2115,3.2629,0.6643,0.7403,1.13739712348257,0,1.74658578059964,1
"96",0.6965,1.6775,0.5375,1.5725,0.7085,3.149,2.735,0.7252,0.65,0.2875,0.5615,0.4081,0.3301,0.2809,0.3299,0,1.72861685273043,1.04281252725444,1
