"","R1_0","R2_0","C1_0","C2_0","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","m1","m2","w11","w22","R1","R2","C1","C2","steady"
"69",1.99325,1.20425,1.09025,1.53275,1.98875,1.29875,3.1835,2.7875,0.5574,0.703,0.799,0.8174,0.31375,0.50375,0.23525,0.32475,3.31165,1.50205,0.58165,0.74935,0.16075,0.99865,0.42215,0.92525,0.0463156911721958,0.0627316579096618,4.12319416367128,-4.94065645841247e-324,0
"70",0.83075,1.61375,1.52375,1.29725,1.31225,0.75575,3.3245,3.5705,0.7962,0.8762,0.7194,0.8386,0.13925,0.58775,0.40575,0.23875,3.92005,3.55735,0.37105,2.29765,0.98425,0.19135,0.64985,0.59585,0.448111579238995,0.182440908587516,0.393131726374806,0.650035361482659,1
"71",0.87575,1.36775,1.30325,0.56375,0.64925,1.23725,3.6815,2.5205,0.6878,0.6138,0.515,0.7534,0.27425,0.35275,0.12625,0.28725,0.60895,1.29535,0.79615,1.21345,0.34525,0.22195,0.72545,0.38525,0.228661360764779,0.407743192293708,9.89881041090028e-12,1.75848120327331,1
"72",1.75475,0.58175,1.24325,0.85625,1.07225,1.33325,4.7285,3.7205,0.7414,0.6522,0.7734,0.7046,0.33825,0.32375,0.57775,0.41875,3.51055,0.93265,2.38345,0.97165,0.26605,0.68365,0.17735,0.90995,0.000813450032482285,0.000775368000431794,1.96625430890749,1.43832361019237e-200,0
"73",1.04675,0.66725,1.43375,1.17725,0.63425,1.44575,4.4405,4.0865,0.6066,0.8578,0.6214,0.7646,0.54075,0.24075,0.28925,0.15125,2.69155,0.40615,3.04645,2.08705,0.63775,0.45055,0.06935,0.45545,0.101808612413291,0.376335306345393,9.13956151421276e-42,0.92537470146858,1
"74",0.60125,1.23725,0.60575,1.98875,1.04075,1.36475,3.1145,3.8555,0.7986,0.639,0.5758,0.7898,0.46675,0.56425,0.57125,0.12775,1.62295,1.02625,2.52385,3.90055,0.68455,0.41455,0.16115,0.22595,0.0767451472480584,0.195136903334652,1.38655899018327e-231,1.41744772309609,0
"75",0.85775,1.45475,1.68575,0.60425,0.50375,1.81925,2.3375,2.5415,0.7586,0.8162,0.7174,0.5122,0.25775,0.13925,0.58975,0.31475,3.34675,3.35065,2.28595,3.53395,0.84385,0.61165,0.23495,0.28355,0.349051315323446,0.385595257066156,0.710008448964275,8.51827282392697e-10,1
"76",1.04825,0.86375,1.33775,1.95425,1.96775,1.74275,4.0715,2.3765,0.5602,0.877,0.5174,0.5186,0.31925,0.10225,0.43475,0.39525,2.79685,3.05425,2.80075,3.28825,0.30745,0.92125,0.22685,0.78215,0.000482274800746546,9.95419104484001e-05,0.425694606409118,3.14180506199449e-315,0
"77",1.86125,1.31375,1.93925,1.87175,1.62125,1.27475,4.2935,4.1315,0.7046,0.7218,0.6886,0.781,0.56575,0.41625,0.28675,0.52175,0.16045,3.61195,1.98565,3.84985,0.79885,0.32545,0.45905,0.69665,0.000334914863470521,6.74516256730583e-05,5.567013052205e-311,2.23499372509445,0
"78",0.92375,1.34225,1.36325,1.57325,0.83675,0.73325,3.2465,3.0785,0.6378,0.6842,0.5442,0.5414,0.18625,0.14525,0.53975,0.54775,0.26965,3.41695,1.65415,3.02305,0.41365,0.83575,0.90905,0.71465,1.56129514851308,1.24094404206152,1.94403157564733,1.35143731546588e-06,1
"79",1.66475,1.62275,0.75875,1.98125,1.74275,1.78925,2.5415,4.3145,0.5014,0.5298,0.5662,0.5874,0.22375,0.44725,0.10375,0.16525,2.82025,2.82025,3.01915,0.81175,0.60535,0.77725,0.94325,0.53285,0.117667444489917,1.4117721282651,2.06021545661172,3.16196660686902e-53,0
"80",0.89075,0.59375,1.76225,1.67225,1.81775,1.18925,2.0555,3.4385,0.667,0.637,0.8154,0.6578,0.15225,0.22575,0.47575,0.54125,0.45295,2.28205,2.71495,2.46925,0.48115,0.88165,0.92165,0.31325,0.952952170324302,1.54382169552959,0.000781371554882033,1.61366819039319,1
